cohort,cohort_first_order_in_homes,first_month,commitment,non_commitment,price_bucket_0_60,price_bucket_61_97,price_bucket_90_inf,known_price_commitment,unknown_price_commitment
365,1/1/24,1,0.95176848874598,0.04823151125402,0.52844923763481,0.00074377091856,0.47080699144663,0.96070025008932,0.03929974991068
366,1/8/24,1,0.88636363636364,0.11363636363637,0.58255033557047,0.00134228187919,0.41610738255034,0.89114832535885,0.10885167464115
367,1/15/24,1,0.95346833261525,0.04653166738475,0.47736441057822,0.00179291797400,0.52084267144778,0.96122361051271,0.03877638948729
368,1/22/24,1,0.94994110718492,0.05005889281508,0.48002458512600,0.00122925629994,0.51874615857406,0.95818610129564,0.04181389870436
369,1/29/24,1,0.93295019157088,0.06704980842912,0.47874493927126,0.03238866396761,0.48886639676113,0.94636015325671,0.05363984674330
370,2/5/24,2,0.91950113378685,0.08049886621315,0.34957369062119,0.24847746650426,0.40194884287454,0.93083900226757,0.06916099773243
371,2/12/24,2,0.91374269005848,0.08625730994152,0.33175355450237,0.23696682464455,0.43127962085308,0.92543859649123,0.07456140350877
372,2/19/24,2,0.84682713347921,0.15317286652079,0.35475578406170,0.24421593830334,0.40102827763496,0.85120350109409,0.14879649890591
373,2/26/24,2,0.86518518518518,0.13481481481482,0.31703204047218,0.29679595278246,0.38617200674536,0.87851851851852,0.12148148148148
374,3/4/24,3,0.93343195266272,0.06656804733728,0.34428794992175,0.25352112676056,0.40219092331768,0.94526627218935,0.05473372781065
375,3/11/24,3,0.89189189189189,0.10810810810811,0.31978319783198,0.29810298102981,0.38211382113821,0.90663390663391,0.09336609336609
376,3/18/24,3,0.95841584158416,0.04158415841584,0.53134635149024,0.05241521068859,0.41623843782117,0.96336633663366,0.03663366336634
377,3/25/24,3,0.96093163035312,0.03906836964688,0.54243827160494,0.04783950617284,0.40972222222222,0.97370398196845,0.02629601803156
378,4/1/24,4,0.95121951219512,0.04878048780488,0.48785871964680,0.12582781456954,0.38631346578366,0.96076352067869,0.03923647932131
379,4/8/24,4,0.93324432576769,0.06675567423231,0.45288326300985,0.15611814345992,0.39099859353024,0.94926568758345,0.05073431241656
380,4/15/24,4,0.92521739130435,0.07478260869565,0.42644320297952,0.21601489757914,0.35754189944134,0.93391304347826,0.06608695652174
381,4/22/24,4,0.90994371482176,0.09005628517824,0.36767676767677,0.23434343434343,0.39797979797980,0.93058161350844,0.06941838649156
382,4/29/24,4,0.91129032258065,0.08870967741936,0.35078534031414,0.18150087260035,0.46771378708552,0.92419354838710,0.07580645161290
383,5/6/24,5,0.91730769230769,0.08269230769231,0.37551867219917,0.21369294605809,0.41078838174274,0.92692307692308,0.07307692307692
384,5/13/24,5,0.90080971659919,0.09919028340081,0.34285714285714,0.24835164835165,0.40879120879121,0.92105263157895,0.07894736842105
385,5/20/24,5,0.91025641025641,0.08974358974359,0.31712962962963,0.25000000000000,0.43287037037037,0.92307692307692,0.07692307692308
386,5/27/24,5,0.96028037383178,0.03971962616822,0.68548387096774,0.02258064516129,0.29193548387097,0.96573208722741,0.03426791277259
387,6/3/24,6,0.95898583146905,0.04101416853095,0.71185127807901,0.01859024012393,0.26955848179706,0.96271439224459,0.03728560775541
388,6/10/24,6,0.94362017804154,0.05637982195846,0.55086071987481,0.15649452269171,0.29264475743349,0.94807121661721,0.05192878338279
389,6/17/24,6,0.94280078895463,0.05719921104537,0.41422594142259,0.22175732217573,0.36401673640167,0.94280078895464,0.05719921104536
390,6/24/24,6,0.94247038917090,0.05752961082910,0.38819320214669,0.25223613595707,0.35957066189624,0.94585448392555,0.05414551607445
391,7/1/24,7,0.95438596491228,0.04561403508772,0.46238532110092,0.20366972477064,0.33394495412844,0.95614035087719,0.04385964912281
392,7/8/24,7,0.93530000000000,0.06470000000000,0.41380000000000,0.22410000000000,0.36210000000000,0.93880000000000,0.06120000000000
393,7/15/24,7,0.94970000000000,0.05030000000000,0.37550000000000,0.19310000000000,0.43140000000000,0.96010000000000,0.03990000000000
394,7/22/24,7,0.93000000000000,0.07000000000000,0.33680000000000,0.29530000000000,0.36790000000000,0.93240000000000,0.06760000000000
395,7/29/2024,7,0.92980000000000,0.07020000000000,0.33510000000000,0.30650000000000,0.35840000000000,0.93220000000000,0.06780000000000
396,8/5/2024,8,0.93000000000000,0.07000000000000,0.50000000000000,0.33000000000000,0.17000000000000,0.93000000000000,0.07000000000000
397,8/12/2024,8,0.93000000000000,0.07000000000000,0.50000000000000,0.33000000000000,0.17000000000000,0.93000000000000,0.07000000000000
398,8/19/2024,8,0.93000000000000,0.07000000000000,0.50000000000000,0.33000000000000,0.17000000000000,0.93000000000000,0.07000000000000
399,8/26/2024,8,0.93000000000000,0.07000000000000,0.50000000000000,0.33000000000000,0.17000000000000,0.93000000000000,0.07000000000000
400,9/2/2024,9,0.93000000000000,0.07000000000000,0.55636439267887,0.33000000000000,0.11363560732113,0.93000000000000,0.07000000000000
401,9/9/2024,9,0.93000000000000,0.07000000000000,0.64290129816608,0.00267875540903,0.35441994642489,0.93000000000000,0.07000000000000
402,9/16/2024,9,0.93000000000000,0.07000000000000,0.38386099562946,0.28451124613581,0.33162775823473,0.93000000000000,0.07000000000000
403,9/23/2024,9,0.93000000000000,0.07000000000000,0.29326458266194,0.36072617896659,0.34600923837147,0.93000000000000,0.07000000000000
404,9/30/2024,9,0.93000000000000,0.07000000000000,0.29560000000000,0.35600000000000,0.34840000000000,0.93000000000000,0.07000000000000
405,10/7/2024,10,0.93000000000000,0.07000000000000,0.24400000000000,0.00000000000000,0.75600000000000,0.93000000000000,0.07000000000000
406,10/14/2024,10,0.93000000000000,0.07000000000000,0.24000000000000,0.51990000000000,0.24010000000000,0.93000000000000,0.07000000000000
407,10/21/2024,10,0.93000000000000,0.07000000000000,0.24000000000000,0.50180000000000,0.25820000000000,0.93000000000000,0.07000000000000
408,10/28/2024,10,0.93000000000000,0.07000000000000,0.24000000000000,0.47850000000000,0.28150000000000,0.93000000000000,0.07000000000000
409,11/4/2024,11,0.93000000000000,0.07000000000000,0.24000000000000,0.37290000000000,0.38710000000000,0.93000000000000,0.07000000000000
410,11/11/2024,11,0.93000000000000,0.07000000000000,0.24000000000000,0.35230000000000,0.40770000000000,0.93000000000000,0.07000000000000
411,11/18/2024,11,0.93000000000000,0.07000000000000,0.24000000000000,0.21150000000000,0.54850000000000,0.93000000000000,0.07000000000000
412,11/25/2024,11,0.93000000000000,0.07000000000000,0.45460000000000,0.01800000000000,0.52740000000000,0.93000000000000,0.07000000000000
413,12/2/2024,12,0.93000000000000,0.07000000000000,0.52201731275875,0.00752728641325,0.47045540082800,0.93000000000000,0.07000000000000
414,12/9/2024,12,0.93000000000000,0.07000000000000,0.52592592592593,0.00398860398860,0.47008547008547,0.93000000000000,0.07000000000000
415,12/16/2024,12,0.93000000000000,0.07000000000000,0.51635514018692,0.00233644859813,0.48130841121495,0.93000000000000,0.07000000000000
417,12/30/2024,12,0.93000000000000,0.07000000000000,0.52844923763481,0.00074377091856,0.47080699144663,0.93000000000000,0.07000000000000
418,1/6/2025,1,0.93000000000000,0.07000000000000,0.58255033557047,0.00134228187919,0.41610738255034,0.93000000000000,0.07000000000000
419,1/13/2025,1,0.93000000000000,0.07000000000000,0.47736441057822,0.00179291797400,0.52084267144778,0.93000000000000,0.07000000000000
420,1/20/2025,1,0.93000000000000,0.07000000000000,0.48002458512600,0.00122925629994,0.51874615857406,0.93000000000000,0.07000000000000
421,1/27/2025,1,0.93000000000000,0.07000000000000,0.47874493927126,0.03238866396761,0.48886639676113,0.93000000000000,0.07000000000000
422,2/3/2025,2,0.93000000000000,0.07000000000000,0.34957369062119,0.24847746650426,0.40194884287454,0.93000000000000,0.07000000000000
423,2/10/2025,2,0.93000000000000,0.07000000000000,0.33175355450237,0.23696682464455,0.43127962085308,0.93000000000000,0.07000000000000
424,2/17/2025,2,0.93000000000000,0.07000000000000,0.35475578406170,0.24421593830334,0.40102827763496,0.93000000000000,0.07000000000000
425,2/24/2025,2,0.93000000000000,0.07000000000000,0.31703204047218,0.29679595278246,0.38617200674536,0.93000000000000,0.07000000000000
